Player	Att	Cmp	Yds	TD	Int	2Pt.P	Att.R	Yds.R	TD.R	2Pt.R	Rec	Yds.C	TD.C	2Pt.C	FL	TD.F
Tavon Austin	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0
Sammy Watkins	1	0	0	0	1	0	0	0	0	0	2	14	0	0	0	0
Steven Mitchell	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
Scott Miller	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0
Trenton Irwin	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0
N'Keal Harry	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
Chad Hansen	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0
Devin Duvernay	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0
Quintez Cephus	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0
Damiere Byrd	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0
Henry Ruggs	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
Brandon Powell	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0
Breshad Perriman	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
KJ Hamler	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
Ashton Dulin	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0
